Position(bp)	Rate(cM/Mb)	Map(cM)
1268	6.456569426539337	0.0
1419	3.5644652667011574	0.0009749465302604102
2573	2.070680782807039	0.005088329666568333
3019	1.7941728985034275	0.006011856638974515
4688	1.7578171791660335	0.00900633185612716
4897	1.411883817157698	0.009373719486562133
5501	1.4026563802475767	0.010226493223778594
5668	1.388910747003617	0.010460742121653245
6234	1.2235715073790892	0.011246860522680441
8401	1.0476293122988316	0.013898334906946292
13510	1.2959581708417198	0.019250668612150173
20015	1.0615659897852365	0.027680897002970557
20066	0.8871521486445435	0.027735038941279638
21573	0.9348081349225938	0.02907197610212594
28155	1.0327565180244431	0.03522489025751015
28312	0.9181681814055836	0.03538702950607371
28897	1.0250096739932748	0.03592415994592158
29139	0.887266775190011	0.03617221179031292
32103	0.8272311220014872	0.03880205996633393
33788	0.7392361439310526	0.04019593786364113
34067	0.792547039785492	0.04040217967557326
34099	0.9940031934443567	0.04042754079875791
35877	0.7480050746593048	0.04219488153340986
36416	0.7683703909040037	0.04259805175045489
36691	0.823152327425274	0.04280935623481182
39313	1.1994808284067016	0.044967659459416526
39544	0.914108491253615	0.04524474047644748
40186	0.9004583801308782	0.04583159018039182
41270	0.8478065869128762	0.04680769252831902
46851	0.8897312459175589	0.05153928528096872
49217	0.9122076010412816	0.05364438268405233
49724	0.8647522112177992	0.054106862586164595
52644	0.9540940511974751	0.056631942099628456
53704	0.9121502877685477	0.057643282558074736
54878	0.9492510796514796	0.05871413329804283
55655	0.91400341692027	0.059451707357064607
55739	0.7524468532961647	0.059528478485891365
56632	0.6860780834705698	0.06020041929542095
57281	0.6678811193776283	0.06064567655907675
57831	0.7158618808678359	0.061013016428451104
60467	0.7403442005372369	0.06290001772435885
63056	0.6938058230774935	0.06481675505660324
71006	0.6893831488648783	0.07033250800679508
71322	0.6410967165867577	0.07055035575645577
73392	0.7057842970788314	0.07187742548217975
73418	0.7325686998697019	0.07189577528166666
75040	0.6514035534666969	0.07308401315640542
76061	0.7431716553254315	0.07374909547763123
79705	0.6631336699528555	0.07645719537535794
84858	0.6859443525008578	0.07987433687449719
87356	0.8304693219109398	0.08158783178941585
87771	0.7175239657771124	0.08193247560278767
88620	0.6900804603498047	0.08254164882646177
90449	0.7380325652036455	0.08380380171860277
90647	0.6513271357697186	0.0839499314596494
90992	0.7697745660859787	0.084174647249826
91658	0.7776169322383699	0.08468731447442872
95563	0.8514555319435867	0.0877239149470406
95591	0.9079377622226228	0.08774775726849782
97054	0.7642820441156682	0.08907605922958556
100336	0.8771891914010066	0.09158442237183544
100830	0.8698913013395853	0.09201775847476264
100923	0.7794509569658474	0.09209865615922622
102368	0.7153078525647437	0.09322496704277625
102600	0.689201656834555	0.09339091762397661
106057	0.7195012736864241	0.09577347813257606
109081	0.7799954330568173	0.09794925235315241
110291	0.6933282124713797	0.09889304911968207
116670	0.6742333404389438	0.10331577109335786
118311	0.7056887749576086	0.1044221751668451
119608	0.6422334298293091	0.10533745858018977
120282	0.6343815114647956	0.10577032662472291
121893	0.6574405515279772	0.10679230824747343
121951	0.7013043095934826	0.10683044067826558
122445	0.7185938135348077	0.1071768803075164
122668	0.7291967689905374	0.10733712821807975
122823	0.7587704177211133	0.1074501595441227
122853	0.717342473746789	0.10747292246561008
125057	0.8187201010005365	0.10905394730281698
125205	0.8107440038784335	0.10917511711358809
126405	0.8698053314304848	0.1101480099182422
127532	0.9152069956476772	0.11112828658286684
129401	0.8033696961200341	0.11283881075981547
129439	0.7990903050892532	0.11286933962975827
129467	0.8942780988877638	0.11289251329636693
133221	0.9407114020141621	0.11624874989101451
133301	0.9485728725907978	0.11632401177032595
134655	0.9385526020745271	0.11760837355565122
135411	0.9353812676499303	0.11831792142430624
135817	0.9749465302604102	0.1186976887216517
139048	0.8750781525219828	0.12184773126542776
139222	0.928484570497645	0.1219999935266569
139537	0.9715650471691235	0.12229247270962895
139581	0.8055380482717914	0.12233521885887615
142351	0.8420561552152641	0.12456656784957992
150630	1.0432066380862162	0.13153796330066161
151579	1.1751513441312567	0.13252797366943886
151885	0.944780644378253	0.13288756669478208
152199	1.1653125656453092	0.1331842297466637
154077	1.5536959583250527	0.13537267020051416
154503	1.5027253544405719	0.136034552530679
155060	1.327298978814917	0.13687156511789372
155123	1.2868740171134323	0.1369551851828121
155530	1.1353377240055975	0.13747894252568885
157319	0.9937834925655444	0.13951006759809753
158274	1.1296541577928414	0.14045913718571865
158672	1.0426621619952463	0.14090874070589007
158927	1.0661510516039305	0.1411746169781016
159615	1.0847301041817632	0.1419081313469714
160191	1.2437266749570979	0.14253293198967756
160221	1.1083527247601594	0.14257024293022721
161027	0.9071544808285958	0.14346357536011484
161671	0.8109828091814905	0.14404777910130132
164766	0.7998162732105464	0.14655776611961197
168295	0.7513865577505915	0.1493803206229878
169271	0.8188538319702484	0.15011368215646367
171916	0.766393082994692	0.1522795411808571
174109	0.72778304159644	0.15396024335155997
174348	0.7867392948151464	0.15413418913430665
178400	0.8191021894854277	0.1573220679902991
178817	0.8150616037577038	0.15766363599136754
181800	0.7761936526321503	0.16009497009506338
184598	0.7814378170872815	0.16226675149097264
187115	0.8498985213676553	0.16423363793685894
190065	0.8778960550980552	0.1667408357092299
190310	0.8634626625812916	0.16695591331737514
190440	0.8332490156385228	0.16706817091423617
191455	0.7844181072694326	0.16791391422333066
193047	0.8890243822205103	0.16916270357071253
195380	0.851054339034451	0.17123678494103514
198631	0.8500991178222231	0.17400357363004113
203131	0.8880022955234265	0.17782901488413505
203570	0.8386937765482221	0.1782188502130574
203605	0.839410192457393	0.17824820416090914
203687	0.8648381811268997	0.1783170374014623
203739	0.7565638567208668	0.178362009216134
206161	0.7804921480871758	0.18019440051533864
208825	0.7579011664179858	0.18227364008020724
211747	0.8077923703326494	0.18448823449084856
212319	0.7772730526019678	0.1849502845434153
213239	0.9419913984385475	0.18566538224731335
214451	0.9465000425602631	0.1868070721923803
214710	0.9590038882283266	0.1870522201642864
215159	0.9590420970768156	0.18748280523012237
215551	1.0245416155992828	0.18785875164261895
216204	1.0317057746909921	0.18852777902745124
218526	0.867551009369627	0.19092340696223398
219183	0.9365657419530932	0.1914933779073582
221158	0.8639593776116501	0.19334309691935272
221797	0.8137911595454407	0.1938951670189598
223951	0.7991094095134977	0.19564808391330715
224144	0.8220633752433342	0.19580230437802132
224833	0.8383594491239422	0.19636871234802403
227944	0.820964870849272	0.1989768578981032
228846	0.8210794973947395	0.1997173644862465
228909	0.8870088654627094	0.1997690897148887
229036	0.8601002839142492	0.19988173895244668
229138	0.8430018242153697	0.1999694664685777
229735	0.7549304284479572	0.20047274386866418
232999	0.7433149385072657	0.20293684205993945
233296	0.7247072292930662	0.20315760323429743
234819	0.6865556940766838	0.20426134224060252
240239	0.6696100697717607	0.20798246378610907
246046	0.7135502455342443	0.21187091143136158
246104	0.6832697331066198	0.21191229161427524
246320	0.6923061257742956	0.2120598828437766
248274	0.7438307579618689	0.2134126480201095
248762	0.6536674277396769	0.21377564163296822
249376	0.6600483054373595	0.21417698737749793
249658	0.6762202005603778	0.2143631217829126
250353	0.7166356100497404	0.2148331001715409
251095	0.6552435427398531	0.2153648431637518
252195	0.6126215722502439	0.21608560532943832
253545	0.8233338194555972	0.21691264540719743
253756	0.667842910529139	0.2170863619368532
